Experiment,Sensor labels,Physics points,Relative k-RMSE [%],k R2,Initial error [%],Final error [%],delta R2,v_delta R2,Stiffness gate
Full-rate clean,1501,1501,2.871705971372545,0.9524455407400216,4.912770593585004,0.29621703619357376,0.9702022611147336,0.9982176390409454,PASS
0.3% differential noise,1501,1501,2.903203795005491,0.9513966335683187,4.922639904655431,1.4984504203186695,0.9709726731326258,0.9984279637491904,PASS
Sparse751 + dense physics,751,1501,3.748286377203333,0.9189828737602532,4.943562700964272,0.011551833502958474,0.9242709351166742,0.8896940986909945,PASS
