true_k,estimated_k,absolute_error,relative_error_percent,delta_R2,v_delta_R2,derivative_consistency_R2,network_landscape_minimum,closed_form_k,best_epoch,quality_gate
350.0,351.2077037948655,1.2077037948654947,0.3450582271044271,0.9746940911508193,0.9981962609978375,0.999916983068069,350.8793969849246,351.21252318990173,3000,PASS
300.0,300.2400081221503,0.2400081221503001,0.08000270738343336,0.964131867076778,0.9979929554927213,0.9996264333201342,300.22613065326635,300.24013262676425,189,PASS
245.0,245.23410975001434,0.23410975001434053,0.09555500000585328,0.9837283068174925,0.9977963505776547,0.999656069067246,245.61557788944725,245.23409685545332,1590,PASS
