adam_steps_per_update,repetitions,updates_per_repetition,total_updates,mean_latency_ms,median_latency_ms,standard_deviation_latency_ms,p95_latency_ms,p99_latency_ms,maximum_latency_ms,update_period_ms,deadline_miss_count,deadline_miss_percent,online_k_RMSE,online_k_relative_RMSE_percent,online_k_R2,final_stiffness_error_percent,threshold_Nm_per_rad,true_threshold_crossing_time_s,estimated_threshold_crossing_time_s,detection_offset_s,detection_offset_ms,deterministic_estimate_max_spread,accuracy_acceptable,deadline_gate_pass,selection_eligible,configuration_wall_time_seconds
3,10,29,290,1.9661586206896549,1.58875,0.8844185830513365,3.7803500000000003,4.888807000000011,5.8089,25.00000000000002,0,0.0,24.048743275403652,6.871069507258187,0.728129445895542,8.81352187387165,315.0,0.3838958280173248,0.3,-0.08389582801732481,-83.89582801732482,0.0,True,True,True,3.8878141
4,10,29,290,2.540035172413793,2.10875,1.0588344415144264,4.683465000000001,6.114000000000013,9.054,25.00000000000002,0,0.0,23.83674737142999,6.810499248979997,0.7329015379368871,8.132155509540622,315.0,0.3838958280173248,0.3,-0.08389582801732481,-83.89582801732482,0.0,True,True,True,1.6717852
5,10,29,290,2.540989655172414,2.2725999999999997,0.7433057680430774,4.030915,6.464917000000001,6.8162,25.00000000000002,0,0.0,23.54361262168653,6.726746463339008,0.7394304837038688,7.471355832595524,315.0,0.3838958280173248,0.3,-0.08389582801732481,-83.89582801732482,0.0,True,True,True,1.620645
