experiment,k_RMSE,k_relative_RMSE_percent,k_R2,k_MAE,maximum_absolute_error,estimated_k_start,estimated_k_final,initial_error_percent,final_error_percent,estimated_degradation_percent,estimated_transition_center,estimated_transition_width,delta_R2,v_delta_R2,derivative_consistency_R2,best_epoch,training_total_loss,quality_gate,stiffness_identification_gate,state_reconstruction_gate,overall_composite_gate,measurements,effective_sample_rate_Hz,Nyquist_frequency_Hz,sample_reduction_percent,samples_per_dominant_torsional_period,collocation_count,weak_window_length,weak_stride
main_noise0_measurements1501,10.050970899803907,2.871705971372545,0.9524455407400216,7.169913541510481,17.194697077547517,367.1946970775475,244.27426826132574,4.912770593585004,0.29621703619357376,33.47554575121283,0.39119555742835666,0.04805681174029251,0.9702022611147336,0.9982176390409454,0.9997208434718927,6000,0.030379413348853752,PASS,PASS,PASS,PASS,1501,2000.0,1000.0,0.0,8.676789587852495,1501,101,25
noise003_measurements1501,10.161213282519219,2.903203795005491,0.9513966335683187,8.21088690197748,17.229239666294006,367.229239666294,248.67120352978074,4.922639904655431,1.4984504203186695,32.284476106599925,0.3846042637762678,0.048820267579199716,0.9709726731326258,0.9984279637491904,0.9998089140032737,6000,0.025329305312211902,PASS,PASS,PASS,PASS,1501,2000.0,1000.0,0.0,8.676789587852495,1501,101,25
noise0_measurements121,99.24016303524857,28.354332295785305,-3.6360718137133423,89.33460478483781,139.29716490201676,232.38601373451831,210.13489664608997,33.60399607585191,14.230654430167359,9.575067247312223,0.10978948926541084,0.015094258328407155,-178.05682173361618,-4.2146541824103,0.9999884722322095,6000,63.47219300557542,FAIL,FAIL,FAIL,FAIL,121,160.0,80.0,91.93870752831445,0.6941431670281996,1501,101,25
noise0_measurements401,91.76526399297997,26.21864685513713,-2.9639836378456743,77.63778338107856,139.7113002320609,354.9252837485469,210.15847754529145,1.407223928156262,14.22102957335043,40.787966603646666,0.08104517252603782,0.005675215034967715,-2.7591477124212207,-0.3574337995485348,-4.512345044959532,6000,0.6312870173218504,FAIL,FAIL,FAIL,FAIL,401,533.3333333333334,266.6666666666667,73.28447701532312,2.3138105567606653,401,28,7
noise0_measurements751,2.801442846030258,0.8004122417229309,0.996305643944358,2.3757496125312847,5.791107780439063,346.8393164060167,246.07490499938095,0.9030524554238062,0.4387367344412032,29.05218833054065,0.4158299631756128,0.030946699726634237,0.9114291388435604,0.6995928274864525,0.4505609909077496,2726,0.027690052541735722,FAIL,PASS,PARTIAL,FAIL,751,1000.0,500.0,49.96668887408394,4.3383947939262475,751,51,13
noise0_measurements751_densephysics,13.119002320211663,3.748286377203333,0.9189828737602532,10.153102491292465,19.333123176590163,367.30246945337495,244.97169800791775,4.943562700964272,0.011551833502958474,33.30518622091261,0.41412580633633844,0.03554219531867774,0.9242709351166742,0.8896940986909945,0.9999246893545317,6000,0.05432268651366878,FAIL,PASS,PARTIAL,FAIL,751,1000.0,500.0,49.96668887408394,4.3383947939262475,1501,101,25
